logFC,AveExpr,t,P.Value,adj.P.Val,B,EntrezID,Gene
0.8149441688324668,7.750296230753867,12.26510128363791,5.560033497155115e-25,1.848822338474019e-20,46.0074413144133,54805,CNNM2
-1.133163937650556,9.699586434910954,-11.486787602551153,8.356098780873346e-23,1.0312384851255163e-18,41.12002206807042,2040,STOM
-0.8857095045322936,10.461983837369907,-11.470063105643511,9.303847754650996e-23,1.0312384851255163e-18,41.015239783734835,8519,IFITM1
-2.805216112378857,8.249838468313467,-11.278293596717518,3.18547090203981e-22,2.648081960865694e-18,39.81482197257417,3620,IDO1
-1.1806274409759663,9.863255612014203,-11.108931243700425,9.427106496010031e-22,5.461683674830708e-18,38.756491204048494,219285,SAMD9L
-2.9691676179497577,8.725144289008924,-11.101994219288551,9.855077002581575e-22,5.461683674830708e-18,38.71318299561602,1116,CHI3L1
-0.7932428468286616,8.908205221363623,-11.044773231077482,1.4211738993041935e-21,6.750982071380435e-18,38.35607951211791,10410,IFITM3
-1.4913986193850697,10.080421662130428,-10.96490229115932,2.3680026209195268e-21,9.842602893852013e-18,37.85802605751671,7453,WARS1
-0.8465068898027548,8.30394890023193,-10.944990271703032,2.6892208898041617e-21,9.93577478086311e-18,37.73393633081391,994,CDC25B
-0.9794421141929002,8.363020079096371,-10.825685196974883,5.7586835484197366e-21,1.7407976850186645e-17,36.99111175467192,83666,PARP9
1.0231004043865806,7.064718523356224,10.775550335456089,7.927329811922787e-21,2.196663090883804e-17,36.67931910518914,619279,ZNF704
-2.9730177502563073,8.058227047021342,-10.65452443337237,1.7130777584400124e-20,3.9532348676748836e-17,35.92758837840811,6279,S100A8
2.444698696229782,8.754822388549375,10.651083492679446,1.7509856870457104e-20,3.9532348676748836e-17,35.90623576885597,1836,SLC26A2
-0.8437023263585504,8.119334587532979,-10.648207847799892,1.7833069594347182e-20,3.9532348676748836e-17,35.8883919578432,51303,FKBP11
-0.7102153539360323,7.618666044236894,-10.610441314700699,2.2673390556100796e-20,4.712097392321648e-17,35.65411995164406,26031,OSBPL3
-0.6846162682407115,8.74171598768988,-10.478709315473594,5.2333706233774015e-20,1.0236472939326197e-16,34.83809673991562,4363,ABCC1
-2.4506624427590102,7.15356947776926,-10.428404544655418,7.199224220023533e-20,1.329936687579014e-16,34.526965896136055,8942,KYNU
-1.04117022214366,7.836381409449397,-10.390060674288677,9.178552241327323e-20,1.606343258571664e-16,34.29000054240853,81030,ZBP1
-0.9544765937179758,8.921462435232822,-10.381774163416036,9.673010423034558e-20,1.6082347129337257e-16,34.23881166789228,10581,IFITM2
-1.4489198675766701,9.261635046685157,-10.369011189642153,1.0487026249125906e-19,1.6605456992187363e-16,34.15998534947544,25878,MXRA5
-1.0564625291634924,7.803442703308633,-10.335143988146882,1.299352174510513e-19,1.8785242829053728e-16,33.950906822069044,28951,TRIB2
