logFC,logCPM,F,PValue,FDR,Gene
-0.7094501799027305,6.764310980760275,58.10833459003168,1.103449654063753e-10,1.6221813364391232e-6,NFKBIZ
-1.5837084483299042,7.678763813815733,54.30307908261178,3.1714282441730407e-10,2.3311583308793935e-6,LCN2
-1.4241676587053573,5.685824381071583,51.34304700511676,7.384206386006967e-10,3.6185072693562804e-6,CFI
0.8455124857805874,6.1286447694978605,50.00344706081828,1.0903147432499587e-9,4.007179260129411e-6,PKDCC
-2.0949592893204367,3.9767583328321607,47.30429113082143,2.425292114031335e-9,7.130843873674931e-6,GABRP
-2.427102549604897,8.317083434822338,46.29060706739683,3.2913146329507688e-9,7.307775315567921e-6,DUOX2
-0.8095740997339819,6.0430861342970985,46.10687731978446,3.4796562961006355e-9,7.307775315567921e-6,CXCL3
-0.807299544749234,7.014971728211864,45.57893109724686,4.085153582983509e-9,7.454778227178724e-6,PDZK1IP1
0.2955672118987298,5.954813978703168,45.07004861796795,4.77186372183344e-9,7.454778227178724e-6,NOL12
-2.860371834689677,6.313864831261084,44.871614418448765,5.070932744152591e-9,7.454778227178724e-6,DUOXA2
-0.9996809688582079,6.087213195731707,43.86519398914069,6.914177754717365e-9,9.240484288372726e-6,CSGALNACT1
-1.2990223074972655,5.398600472710034,42.69477403731845,9.952980411548072e-9,1.2193230419180682e-5,RP1-66C13.4
-2.1978864277278625,6.7247740785002375,41.679856450605435,1.3695712164006442e-8,1.4462604141814356e-5,NOS2
-3.294644476172292,5.410964408543548,41.45414900467532,1.4709555795688997e-8,1.4462604141814356e-5,REG3A
0.37559194342541796,5.812879331765693,40.7996964864319,1.810982301627585e-8,1.4462604141814356e-5,UCKL1
-0.47543119466887773,7.46095305413159,40.75917929381939,1.83452878073895e-8,1.4462604141814356e-5,SGMS1
-2.259988286370651,5.40206821967764,40.73368243058017,1.8495077687623937e-8,1.4462604141814356e-5,CLDN2
-1.5024939242018183,3.5557511071336547,40.700968869097444,1.8689112581451394e-8,1.4462604141814356e-5,RP11-669M16.1
-3.4567274060262827,6.840313280523308,40.70050310838523,1.8691890258790066e-8,1.4462604141814356e-5,REG1A
