logFC,AveExpr,t,P.Value,adj.P.Val,B,Gene
-0.6034729477199858,1.4149676762880814,-13.21827787315982,8.212286093898831e-30,3.367037298498521e-25,56.9335291474929,SIL1
-0.4115302513199839,0.6487915921718113,-12.519957039217918,1.4557176595871434e-27,2.984221202153644e-23,51.86028305176838,ARNTL2
-0.8744264169679927,1.4294245732101087,-12.457430084365061,2.309658747466552e-27,3.156533621537621e-23,51.40793614710558,RPS6KA2
-0.8477750278136974,1.1966457780096926,-12.40780885616016,3.330604173480507e-27,3.4138692778175196e-23,51.04921630733375,BACE2
-0.4811046378794388,0.8277122582460738,-12.247254951192451,1.0868075011534927e-26,7.426517924548867e-23,49.89021361770071,NUCB2
-2.377866863880504,4.241159928687175,-12.166091923718747,1.9739899786213194e-26,1.1561941303353442e-22,49.30533676241155,TBXAS1
-0.25210442993487325,0.6398586572799172,-12.107072811905367,3.045220612977562e-26,1.5606755641510007e-22,48.88048661679604,ANXA5
-0.24625076749366315,0.6367145955667116,-12.047637197834415,4.710244969679883e-26,2.1457782639652802e-22,48.453037027799176,LINC00963
-0.25234855291396113,0.46283048993327836,-12.009324549840441,6.238084358840741e-26,2.5576145871247037e-22,48.17771738679137,PLS3
-16.99278055225713,15.381257067901707,-11.961767683140907,8.838722041203919e-26,3.29443276081237e-22,47.83621048851962,DUOX2
-0.2911151627064909,0.4153360854396529,-11.914318840288548,1.2510144098463302e-25,4.2742992336416285e-22,47.495753157793764,GPX8
-0.36233028087311175,0.5549487098130669,-11.899383030407176,1.3954943158524324e-25,4.401174380765364e-22,47.388642564827904,B3GNT9
-0.4222472620087119,0.6909768338507812,-11.77104065251078,3.5651628360127387e-25,9.74477841843482e-22,46.46941899564792,RBPMS
-0.13974162672539175,0.3109547299882161,-11.691166247232202,6.384276699337532e-25,1.6359709042052424e-21,45.89843116025357,P3H1
3.145933579054473,6.069145318995093,11.622310877669593,1.054209558751061e-24,2.4012551060440837e-21,45.40691580214827,RMDN2
-2.163132627391673,2.2715579369520302,-11.539928066575762,1.9193096787237364e-24,3.850795658811443e-21,44.81971958682046,MXRA5
-1.0528903122941973,1.3042959490836734,-11.484632454863485,2.8678707852443197e-24,5.344668281591687e-21,44.42614707585365,IFITM2
-0.468803915546097,1.1168123125836835,-11.476208232786677,3.048694008063558e-24,5.4346284491567776e-21,44.36622673120857,SETD7
-0.23554396877519512,1.0071277590148404,-11.440468027771383,3.951111235306271e-24,6.7498150269815466e-21,44.11213066389847,PIK3R3
-1.0668425877080125,1.4923634823318184,-11.432523569803653,4.1854097407220984e-24,6.864071974784241e-21,44.05567568288125,DYSF
-0.2999623358500358,0.4106708180267852,-11.418996136612822,4.616670222292794e-24,7.280133812077098e-21,43.95956916425835,LPCAT1
-0.3859651212836085,0.7754842587276136,-11.179457813621251,2.6085498698375522e-23,3.6492283262367476e-20,42.26256347402097,B9D1
-1.1407533344207972,2.1365559217489594,-11.17928216963754,2.6118551812572933e-23,3.6492283262367476e-20,42.261322580190345,APOL2
-2.2467259123764607,1.965622909831909,-11.17379432363671,2.717256474228404e-23,3.6492283262367476e-20,42.222554544560616,COL4A1
-0.6615603531912188,0.5853328552500352,-11.171670659359725,2.759172636910712e-23,3.6492283262367476e-20,42.20755361756459,TIMP1
-15.991497768805564,17.55317620635627,-11.160901410705007,2.9818610905542476e-23,3.82050952227263e-20,42.13149466804191,VWF
-0.6989283425077442,1.016427076578415,-11.131761000715013,3.678371140430984e-23,4.570097477505162e-20,41.9257867462119,S100A11
-1.2775245382342337,2.408175275761618,-11.114899115517431,4.153174024691267e-23,5.008239265068881e-20,41.80682205746419,ASPHD2
-1.7956039421702983,2.556265044699109,-11.108602456444668,4.345735735060797e-23,5.090719003928362e-20,41.762410221800025,APOL1
0.4640979029871731,0.9054608228717248,11.09947592152076,4.6407402373728523e-23,5.2852874925635267e-20,41.698050830191626,FGFR3
-1.0458589918241388,1.1628585048318687,-11.091086080236183,4.929503167926812e-23,5.462422429324306e-20,41.638899335853075,FKBP11
1.2084545230371868,2.0389823816759938,11.055976028599726,6.345320463073949e-23,6.722551013908949e-20,41.391494437449516,ACSF2
-0.43089861839871857,0.8422246277153572,-11.039317985511241,7.152273494287585e-23,7.152273494287585e-20,41.27418885051957,LPIN1
-0.7269683404788463,1.1216328520922199,-11.023483829607061,8.013887239898105e-23,7.823080400852911e-20,41.162730916748195,SRPX2
-0.691250677334529,0.9218431467686863,-11.013654164479348,8.600025929792079e-23,8.062560381836187e-20,41.09356169271014,COL5A2
-0.276325600969231,0.8577014246260432,-11.012806911013442,8.652503824409566e-23,8.062560381836187e-20,41.087600566751775,ADGRL2
1.9280128516762431,3.314840659485974,10.962210487493754,1.2439890220359146e-22,1.130789506779846e-19,40.731848781487855,WSCD1
-1.5227127384317596,2.021633138553802,-10.959468466297437,1.2686906661432417e-22,1.130789506779846e-19,40.71258251209306,XBP1
-0.46500153983903836,1.0156913303805828,-10.943848894673405,1.419013967657634e-22,1.2378632483821913e-19,40.60286104760056,TMEM165
-0.40001645185279694,0.5837661752279656,-10.939796464594407,1.460832910565514e-22,1.2477947777747097e-19,40.574401638075074,CBR3
-0.6807291044367327,0.7368424281035613,-10.901561582129565,1.921089363186653e-22,1.6074421202174034e-19,40.30603575155117,TGFBI
-0.6855525170795103,0.6456590862817069,-10.890495879151814,2.0794583952432038e-22,1.7051558840994272e-19,40.22841792184395,COL18A1
-0.529721290573552,1.3228625125050775,-10.879252277137985,2.2536978151392107e-22,1.8117962827589732e-19,40.149575862875324,ERLEC1
-0.5096089669911842,0.7709914123369261,-10.854953808561794,2.681516016990664e-22,2.1142722441657158e-19,39.979272562712666,ADGRG6
-0.38127020091563346,0.9750277357282873,-10.844026223850452,2.899423445569875e-22,2.242950212610658e-19,39.902719843189296,HM13
0.9300418316236452,2.7492507113916225,10.833084068894282,3.135293170701845e-22,2.380500370347697e-19,39.826087944457306,ABCD3
-0.43199446713218964,0.5872091429317903,-10.788618723411894,4.307282992926841e-22,3.153546476964294e-19,39.514918456048186,RAB31
-2.2265414443947114,2.6608466865395344,-10.759192608575908,5.313574826504238e-22,3.822045050643399e-19,39.30920556546238,CDH11
7.023645394670158,10.321544234511492,10.751311436405565,5.620769567180369e-22,3.9733026250757783e-19,39.25413855479929,TNNC2
-2.7261913179418533,3.7178053638491826,-10.74620575988248,5.829158295803754e-22,4.0507710191178626e-19,39.218470926516204,PTAFR
-5.96387190902526,3.938730611858071,-10.743461876316148,5.944311218989097e-22,4.06194599964255e-19,39.199304624970146,TNFRSF6B
-0.4439633610415016,1.0409727170163687,-10.736388346977696,6.251724083045498e-22,4.2019784820469746e-19,39.149902198598035,TMEM263
0.5294004552578002,1.1012028820458384,10.730479647215116,6.520616563130656e-22,4.312020630457369e-19,39.10864270832239,TMEM38B
-0.45358321890288555,1.1115093137139396,-10.718105668462703,7.121628541224096e-22,4.634710637939491e-19,39.022259760017384,ITGA1
-0.30489611300905595,0.7184177831759134,-10.697209155022868,8.264417243343075e-22,5.294392296516657e-19,38.87645042216133,RCN1
-16.129220927546523,15.73613763428967,-10.687353942873361,8.865048974680122e-22,5.591800122490538e-19,38.80771430741249,FCGR3A
-0.5494306649534928,1.333234770295009,-10.64220962495331,1.2221995667067918e-21,7.479131676862457e-19,38.493102808701856,APH1B
-0.5182726430617723,1.263263411085805,-10.63814345734341,1.2580402705922534e-21,7.480367432661659e-19,38.46478605188156,CALR
-0.3100360428594481,0.8239901581542158,-10.638048337354665,1.2588911045211084e-21,7.480367432661659e-19,38.464123677729496,DNAJC10
-4.019191194902966,6.532570275435118,-10.625578388672633,1.3755426205210185e-21,8.05674963448025e-19,38.37730450837316,PECAM1
-2.6654503963409475,3.4019846146611434,-10.611990913896884,1.5149317106225014e-21,8.748197202186276e-19,38.2827413505027,ROBO4
4.450601385885181,6.747299185159082,10.605409762311359,1.5874159033266342e-21,9.03945167172111e-19,38.236953025975524,SLC22A5
-0.46596551319829416,0.9357001058648474,-10.600159186483486,1.647713928282446e-21,9.254283706791819e-19,38.20042862660087,PDIA4
1.185303832060605,3.0811052865204407,10.54650258687291,2.411002752868777e-21,1.3180148382349313e-18,37.82750975842181,RAVER2
-0.9749784894580888,2.366642620796276,-10.527939014502358,2.7499863577058284e-21,1.4835452719202497e-18,37.69863250613332,TCIRG1
-0.5194771520662099,1.0907514942522674,-10.51209601551057,3.0765576680709945e-21,1.6381670700118283e-18,37.588700871528275,PGM3
-3.1363530908006614,3.8534692075211345,-10.510073267520484,3.1209408567908705e-21,1.6404945529285345e-18,37.57466926449725,SAMD9L
1.6784194153946599,3.46266901292984,10.487781289669126,3.654381536339553e-21,1.890088138171685e-18,37.420090221326724,PXMP2
-0.13281105742289884,0.2113591064269541,-10.486488002764109,3.687976854969142e-21,1.890088138171685e-18,37.411125481885705,TMEM45A
-0.14540301593647098,0.4258299928366044,-10.480841230498038,3.838300748677481e-21,1.9428435888367497e-18,37.371987714176825,SLC12A4
-0.16598286644750138,1.0060568984610991,-10.459558690652115,4.4617658638972445e-21,2.2040048243347833e-18,37.22454062695043,TMEM255B
-0.5792336496763184,1.2077495027076957,-10.443921079747367,4.983210632763307e-21,2.403666305215242e-18,37.11626495016998,FAM167B
-0.6734391656969918,1.5734869425659976,-10.409834708959732,6.339612426292772e-21,2.987633442275904e-18,36.880435149181714,PML
-0.5489242294354171,1.5386362799527338,-10.405545500255261,6.534481740528744e-21,3.0444744472918014e-18,36.850778029856684,OLFML2B
1.7647170094901838,3.7648823837891974,10.397053211300301,6.938071583263191e-21,3.1961902799302345e-18,36.79207136308096,ENTPD5
-0.15928358338358845,0.35755739342625026,-10.391111680265887,7.235100411384091e-21,3.295990187408308e-18,36.75100746654937,ARMCX2
-6.441807130056343,6.608514916235014,-10.38609727797268,7.495607263058873e-21,3.377141733905646e-18,36.7163573885097,LILRB3
-0.46433617064246957,1.454826054441714,-10.38132818972606,7.752026922929566e-21,3.4128115949552224e-18,36.683407667316814,RPN1
-0.4265904801283824,1.13608870059225,-10.380268376342432,7.810185405738057e-21,3.4128115949552224e-18,36.67608608707561,TMEM184B
-0.5318881657660395,0.8087593116084377,-10.37971032499733,7.840983482397711e-21,3.4128115949552224e-18,36.67223096434099,HIF1A
-0.28915752977169107,1.0747087112121196,-10.378508276102616,7.907734183432832e-21,3.4128115949552224e-18,36.66392722320076,ACVR1
-0.2851115608961394,0.8720208042973315,-10.364245736508224,8.744264999618606e-21,3.734529843587113e-18,36.56542647138235,SLC39A13
-0.8373937400886312,1.006892177683585,-10.361100844824952,8.94026019442176e-21,3.778872865683424e-18,36.54371319212138,LMAN1
-0.46015368710723026,1.3221044736744756,-10.35554258304728,9.297415203187523e-21,3.8897349319458e-18,36.50534272517323,PDIA5
-0.2993791366960297,0.5713107471581371,-10.352843868845259,9.47591246660199e-21,3.924367789198804e-18,36.48671514574013,MCFD2
-1.348013006151192,3.3895223616115144,-10.332263093375696,1.095419388294186e-20,4.491219492006163e-18,36.34471276830716,MAP3K5
0.22915920270068224,1.1190255421994109,10.325033823801787,1.1526191932825782e-20,4.678949200454031e-18,36.2948553614933,HINFP
-0.9132013561485932,1.5295981857484666,-10.321619558956906,1.1806579084037924e-20,4.745781788681911e-18,36.2713126661888,EDEM1
-0.202616760376285,0.36763283939083835,-10.308673614390216,1.2932797682017121e-20,5.098506778487519e-18,36.182069466885494,IKBIP
-0.261824662797585,0.5701092911729574,-10.292122612702588,1.4529653588142516e-20,5.6236779731608076e-18,36.06803061341325,TMTC1
-2.23171107522375,3.954893946740463,-10.291358879231268,1.4607899845977126e-20,5.6236779731608076e-18,36.06276989563389,SLC15A3
-1.184134227732827,1.5954243226087395,-10.280094114299548,1.5811926745698247e-20,6.00267589420026e-18,35.985192012040365,IFITM3
-0.31518396613889976,1.2628865706601782,-10.26812582848119,1.7199510435515396e-20,6.469540622533315e-18,35.90280125691658,SSR2
24.85721495039149,45.90088297993154,10.256096037174688,1.8716326158120898e-20,6.976085204390518e-18,35.82002056188538,GUCA2A
-1.0718455315953648,0.8115030594253454,-10.246270592435863,2.0053423981721888e-20,7.340985564737476e-18,35.75243363783462,IGFBP5
-0.22400773494876952,0.40416049455500813,-10.217527064275176,2.4535846946997514e-20,8.747562824581722e-18,35.55484333479222,VCAN
-0.81141940933108,1.9016538080602263,-10.20638598829111,2.653000219507392e-20,9.376983534465781e-18,35.4783089973771,ADAM9
0.5221121879723851,1.6262659657989906,10.205123707987019,2.676587522655471e-20,9.379494737510624e-18,35.469639530402674,AFG3L2
-1.173304644782102,1.5652670338214725,-10.195248079203052,2.8684756316748474e-20,9.890105763087479e-18,35.401825745293294,MEDAG
-1.2269546969485772,1.2289144913127954,-10.194105899238028,2.8915338098913335e-20,9.890105763087479e-18,35.393984136305036,HTRA3
0.6685155979888913,2.288735745311981,10.193144554434507,2.911084211203287e-20,9.890105763087479e-18,35.387384286689525,C6orf136
-0.6802983055946548,1.1644563505864989,-10.192767536134696,2.9187873105697193e-20,9.890105763087479e-18,35.384796030631755,HSP90B1
6.515410158607111,19.774225191005772,10.187347315816423,3.031799768102109e-20,1.0188835286244793e-17,35.347589584379584,MAOA
-0.24008723347755584,0.4810007100475578,-10.183126285416165,3.1228159687922277e-20,1.0409386562640758e-17,35.318619670372556,PRDX4
-0.46092342720261137,0.824889726002212,-10.178553027355575,3.224498128135753e-20,1.0661647036577892e-17,35.28723712444816,ENG
-1.5111196069358999,2.182866041687989,-10.15801103609771,3.72341668154435e-20,1.2212806715465467e-17,35.14633577896019,MMP19
-0.2916255442215879,0.36531170133964086,-10.155739329052693,3.783105604696939e-20,1.2310105539093215e-17,35.130759923813635,HTRA1
-0.3488341873596399,1.501437742599248,-10.148429187538433,3.981716534828094e-20,1.2854360466767862e-17,35.08064668854244,DNAJC1
-1.4535130796332434,2.1822299665626494,-10.118183880706603,4.9198605191244996e-20,1.563676599101585e-17,34.873442961190506,VWA1
-0.1813992870953416,0.4619946875616843,-10.117013852336596,4.9602698248467563e-20,1.5643927909132076e-17,34.86543181404766,FKBP7
